Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
AmeriCares,125-1009-501,ACARE-HT-10-125-1009-501,Strengthening Hospital Medical Technology,To increase hospital medical technology infrastructure in order to increase treatment capacity and to improve the quality of patient care,"Near term by repairing broken/damaged equipment and installing/training on donated equipment received post-earthquake
Longer-term by acquiring additional equipment to fill critical gaps and developing systematic technology infrastructure management (i.e., processes/capability for maintenance, repair, and replacement )",,3/1/2010,4/30/2010,"$6,500",Health,,Health,Capacity building,Engineering World Health,,Private donations,, 4 ,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Rachel Granger,"Vice President, Post-ER",rgranger@americares.org,,09-Dec-10,,
AmeriCares,125-1009-502,ACARE-HT-10-125-1009-502,Community Health Program for Cazeau Community in Haiti,Improving the status of the health care for the population of Cazeau and strengthening the provision of curative care at the relocated Hospial St. Francois de Sales.,,,6/30/2010,8/1/2011,"$175,000",Health,,Health,Community Health,St. Francois de Sales Hospital,,Private donations,," 10,000 ",,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Peggy Atherlay,Director - Communications,patherlay@americares.org,,09-Dec-10,,
AmeriCares,125-1009-601,ACARE-HT-10-125-1009-601,Expanding Medical Capacity in Haiti: HUEY Hospital/Port-au-Prince,"The medical capacity in Haiti was limited prior to the earthquake, and following the earthquake, the General Hospital in Port-au-Prince needed additional medical personnel. 110 Medical staff from IMC were sponsored by AmeriCares grant funds to support the General Hospital's Emergency Room and ICU during this grant period.",,,3/1/2010,6/30/2010,"$150,000",Health,,Health,Capacity building,International Medical Corps,,Private donations,," 4,736 ",,"Women, Men, Children",Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Rachel Granger,"Vice President, Post-ER",rgranger@americares.org,,09-Dec-10,,
AmeriCares,125-1009-700,ACARE-HT-10-125-1009-700,Procurement of Microscopes for Restoring and Improving Access at Clinics,To restore and expand medical labortatory capacity.,Purchase of 58 microscopes to expand laboratory capacity,,6/1/2010,2/28/2011,"$34,450",Health,,Health,,"Management Sciences for Health, AmeriCares (Haiti)",,Private donations,," 10,000 ",,,Haiti,"Artibonite, Centre, Grand'Anse, Nippes, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est","Acul-du-Nord, Anse-à-Veau, Arcahaie, Bainet, Cap-Haïtien, Chardonnières, Corail, Croix-des-Bouquets, Hinche, Jérémie, Lascahobas, Les Cayes, Marmelade, Môle Saint-Nicholas, Port-au-Prince, Port-de-Paix, Saint-Raphaël, Trou du Nord, Vallières","Abricots, Acul-du-Nord, Arcahaie, Baie-de-Henne, Bainet, Cap-Haïtien, Carrefour, Corail, Cornillon, Croix-des-Bouquets, Dondon, Île à Vache, Jérémie, La Tortue, L'Asile, Les Anglais, Maïssade, Marmelade, Mombin-Crochu, Petit Trou de Nippes, Port-au-Prince, Saint Michel de l'Attalaye, Sainte Suzanne, Savanette",,,,,Peggy Atherlay,Director - Communications,patherlay@americares.org,,09-Dec-10,,
AmeriCares,125-1009-701,ACARE-HT-10-125-1009-701,Emergency Operating Funds,"Due to the earthquake the struck, the operations of FHADIMAC immediately switched from a cost recovery model for visiting patients to offering free services for the indefinite future. This change in operating structure left the organization at a significant shortfall with regards to its monthly operating costs for the short-term. Long-term funding to support operations was forthcoming, but there was an immediate shortfall.",,,3/1/2010,4/1/2010,"$21,000",Health,,Health,,Fondation Hatienne de Diabete et de Maladies Cario-Vasculaire (FHADIMAC),,Private donations,," 1,000 ",,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Rachel Granger,Director - Communications,patherlay@americares.org,,09-Dec-10,,
AmeriCares,125-1009-702,ACARE-HT-10-125-1009-702,Health Referral and Assisted Returns Program,"To reduce morbidity and mortality among earthquake survivors by increasing access to medical care and facilitating hospital discharge to emergency housing for the most vulnerable survivors including pregnant women, children, the elderly, those disabled by earthquake related injury, and those with special needs and their families.",,,4/1/2010,8/1/2010,"$70,500",Health,,Health,,International Organization for Migration (IOM),,Private donations,," 1,148 ",,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Peggy Atherlay,Director - Communications,patherlay@americares.org,,09-Dec-10,,
AmeriCares,125-1009-705,ACARE-HT-10-125-1009-705,Transitional Field Hospital,To support St. Francois de Sales hospital with a transitional hospital facility while they rebuild their new hospital.,,,4/1/2010,1/30/2011,"$345,921",Health,,Health,,"Catholic Relief Services (CRS), St. Francois de Sales Hospital",,Private donations,," 60,000 ",,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Peggy Atherlay,Director - Communications,patherlay@americares.org,,09-Dec-10,,
AmeriCares,125-1009-706,ACARE-HT-10-125-1009-706,Improving Access to Quality Diabetes Care Through Mobile Clinics,To reach out and expand treatment to those in need of diabetic and hypertensive medical care services through mobile medical programs.,,,6/1/2010,12/30/2010,"$73,021",Health,,Health,,Fondation Hatienne de Diabete et de Maladies Cario-Vasculaire (FHADIMAC),,Private donations,," 1,500 ",,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Peggy Atherlay,Director - Communications,patherlay@americares.org,,09-Dec-10,,
AmeriCares,125-1009-707,ACARE-HT-10-125-1009-707,Prosthetics Grant,To provide custom-designed and fitted prosthetics for 10 patients and 10 prosthetics.,,,7/1/2010,1/30/2011,"$5,000",Health,,Health,,"Hopital Sacre Coeur, Crudem Foundation",,"Private donations, Newman's Own Foundation",, 10 ,,,Haiti,Nord,Cap-Haïtien,Milot,,,,,Peggy Atherlay,Director - Communications,patherlay@americares.org,,09-Dec-10,,
America's Development Foundation,1,ADF-HT-10-001,Distribution Food (Cornmeal),"Distributed 100,000 lbs donated cornmeal to  3,552 families",,,3/10/2010,3/18/2010,"$94,000",Food Security and Agriculture,,Food Aid,,"America's Development Foundation, Comite d'Action pour une Petit-Goâve Regeneree (CAPR)",Comite d'Action pour une Petit-Goâve Regeneree (CAPR),"Bunge Latin America Inc., Private donations",," 19,001 ",,Internally displaced persons (IDPs),Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
America's Development Foundation,2,ADF-HT-10-002,Distribution Emergency Shelter-4mx5m tarps,Distributed  emergency shelter supplies of  100 tarps to most vulnerable in underserved IDP camps,,,3/20/2010,3/25/2010,"$15,000",Shelter and Non-Food Items,,Shelter and Housing,,America's Development Foundation,"UNICEF, Comite d'Action pour une Petit-Goâve Regeneree (CAPR), Comite Communale de Protection Civile (CCPC)","UNICEF, Private donations",, 500 ,,"Most vulnerable IDP familes, Pregnant and lactating women, Women heads-of-household, Elderly, Handicapped",Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
America's Development Foundation,3,ADF-HT-10-003,Distribution-school kits,Distributed 2 ECD kits; 2 schools in a box; & 3 recreation kits,,,3/16/2010,3/16/2010,"$26,040","Education, Protection",,"Education, Protection",,"America's Development Foundation, UNICEF, L'Ecole des Soeurs, Association des Paysans de Vallue (APV)",,"International Organization for Migration (IOM), Private donations",, 400 ,,"Internally displaced persons (IDPs), Children",Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
America's Development Foundation,4,ADF-HT-10-004,Distribution Emergency Shelter- 10'x24' tarps,"Distributed 1,000 emergency shelter tarps to IDP families in Petit-Goâve town center and 12e section (Vallue)",,,3/30/2010,4/2/2010,"$123,000",Shelter and Non-Food Items,,Shelter and Housing,,"America's Development Foundation, International Organization for Migration (IOM), Comite d'Action pour une Petit-Goâve Regeneree (CAPR), Comite Communale de Protection Civile (CCPC)",,"International Organization for Migration (IOM), Private donations",," 5,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
America's Development Foundation,5,ADF-HT-10-005,Distribution-heavy duty tenting coated material for Emergency or Transitional Shelters,"Distributing  390,000 sq ft of coated fabric tenting material for use either as part of 800 Transitional Shelters  or emergency tarps",,,9/1/2010,1/30/2011,"$115,000",Shelter and Non-Food Items,,Shelter and Housing,,"America's Development Foundation, Comite d'Action pour une Petit-Goâve Regeneree (CAPR), Comite Communale de Protection Civile (CCPC), Association des Paysans de Vallue (APV)",,"BondCote Inc., Private donations",," 4,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
America's Development Foundation,6,ADF-HT-10-006,Building Transitional Shelters,Building 600 Transitional Shelters using thirteen 40 ft containers of donated in-kind OSB panels to leverage complementary inputs.,,,10/1/2010,1/30/2011,"$262,463",Shelter and Non-Food Items,,"Protection, Shelter and Housing",,"America's Development Foundation, Arbeiter-Samariter-Bund Deutschland e.V. (ASB), Adventist Development and Relief Agency (Denmark), Adventist Development and Relief Agency (Switzerland), Adventist Development and Relief Agency (Czech Republic), Adventist Development and Relief Agency (Canada), Adventist Development and Relief Agency (Germany), Adventist Development and Relief Agency (Romania), Adventist Development and Relief Agency (Slovakia), Adventist Development and Relief Agency (Austria), Adventist Development and Relief Agency (France)",,"Norbord Inc., Private donations",," 3,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
America's Development Foundation,7,ADF-HT-10-007,Child-friendly spaces for underserved IDP camps,Established child-friendly spaces in selected IDP camps in Petit-Goâve,,,4/15/2010,8/15/2010,"$26,040","Education, Protection",,Education,,"America's Development Foundation,UNICEF, UN Office for the Coordination of Humanitarian Affairs (OCHA),  Comite Communale de Protection Civile (CCPC), Comite d'Action pour une Petit-Goâve Regeneree (CAPR), Association des Paysans de Vallue (APV)","Comite Communale de Protection Civile (CCPC), Comite d'Action pour une Petit-Goâve Regeneree (CAPR)","UNICEF, UN Office for the Coordination of Humanitarian Affiars (OCHA), Private donations",," 2,500 ",,"Children, Students",Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
America's Development Foundation,8,ADF-HT-10-008,Construction of Primary School,Building Primary School in rural mountain area of Petit-Goâve,,,6/1/2010,5/31/2011,"$85,250",Education,,Education,,"America's Development Foundation, Association des Paysans de Vallue (APV)",Association des Paysans de Vallue (APV),Private donations,, 110 ,,Children,Haiti,Ouest,Léogâne,Petit-Goâve,,,,,Michael D. Miller,President,mmiller@adfusa.org,www.adfusa.org,13-Nov-10,13-Nov-10,
Ananda Marga Universal Relief Team (AMURT),1,AMURT-HT-10-001,Education and Child Protection,5 Integrated education and protection programs in IDP camps of Port-au-Prince,"Kindergarten, Afterschool Enrichment, Youth Leadership Training, Women's Literacy and Support, Urban Ecology Education",,10/1/2010,6/1/2011,"$720,000",Protection,,Education,,Ananda Marga Universal Relief Team Haiti (AMURT),Kindernothilfe (KNH),Kindernothilfe (KNH),," 5,500 ",,"Children, Women",Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Sara Wolf,Coordinator of Education and Child Protection,sara@amurt.net,http://www.amurt.net,21-Sep-10,,
Ananda Marga Universal Relief Team (AMURT),AMURTEL,AMURT-HT-10-AMURTEL,Children’s home and relief work in 9 IDP camps in Boudon Valley of Port-au-Prince.,"We are providing latrines, tarps, food, water, diapers, vitamins, clothes, and ongoing medical care through mobile clinics. We also assist with community mobilization to strengthen camp committees and relocation efforts as well as running two Child Friendly Spaces and a children's home.",,,1/12/2010,12/31/2010,"$120,000","Food Security and Agriculture, Health, Protection, Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Agriculture, Disaster Management, Health, Protection, Shelter and Housing, Water Sanitation and Hygiene",,Ananda Marga Universal Relief Team Ladies Haiti (AMURTEL),"International Organization for Migration (IOM), World Vision United States, Haven",Private donations,," 2,700 ",,"Internally displaced persons (IDPs), Host families, Vulnerable people",Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Hannah Surowitc,Project Development Coordinator,hannah@amurtel.org,http://www.amurtel.org,21-Sep-10,,
Ananda Marga Universal Relief Team (AMURT),CFS CRS,AMURT-HT-10-CFS CRS,Child-Friendly Spaces in IDP Camps,"To help children affected by the earthquake restore normalcy and improve overall well-being in their lives with psychosocial and educational support. Provide play therapy, learning stimulation and a healing environment that creates stability, increased resiliency and a safe community for affected children.",,,3/1/2010,9/30/2010,"$810,000",Protection,,Education,,Ananda Marga Universal Relief Team Haiti (AMURT),Catholic Relief Services (CRS),Private donations,," 2,000 ",,Children,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Sara Wolf,Coordinator of Child Protection and Education,sara@amurt.net,http://www.amurt.net,21-Sep-10,,
Ananda Marga Universal Relief Team (AMURT),KNH 84051,AMURT-HT-10-CFS-KNH 84051,Child-Friendly Spaces in IDP Camps,"To help children affected by the earthquake restore normalcy and improve overall well-being in their lives with psychosocial and educational support. Provide play therapy, learning stimulation and a healing environment that creates stability, increased resiliency and a safe community for affected children.",,,3/1/2010,4/1/2011,"$1,200,000",Protection,,Protection,,Ananda Marga Universal Relief Team Haiti (AMURT),Kindernothilfe (KNH),"Kindernothilfe (KNH), Private donations",," 2,000 ",,Children,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Sara Wolf,Coordinator of Child Protection & Education,sara@amurt.net,http://www.amurt.net,21-Sep-10,,
Ananda Marga Universal Relief Team (AMURT),ERRF DMA 0369 056,AMURT-HT-10-ERRF DMA 0369 056,"Integrated watershed protection, soil conservation and employment cash for work program, commune of Anse Rouge and Terre Neuve","Inject cash in the communes by providing IDPs, hosts and local communities with cash for the work they will realize. Rotation of workers to increase number of beneficiaries. Work realized aims at reducing watershed, enhancing soil conservation and planting a  maximum of trees in order to protect agriculture, houses, and Human lives.",,,6/12/2010,12/10/2010,"$374,639",Food Security and Agriculture,,Agriculture,Environment,Ananda Marga Universal Relief Team Haiti (AMURT),,Emergency Response Relief Fund for Haiti (OCHA/ERRF),," 5,000 ",,"Internally displaced persons (IDPs), Host families, Vulnerable people",Haiti,Artibonite,Gros-Morne,"Anse Rouge, Terre-Neuve",,,,,Paul Ziade,Coordinator of Rural Dvelopment,paul@amurt.net,http://www.amurt.net,21-Sep-10,,
Animal Relief Coalition for Haiti (ARCH),1,ARCH-HT-10-001,Mobile Veterinary Clinic,Disease prevention via mobile clinic that travels throughout affected areas,"Rabies vaccine for pets, anthrax for cattle",,1/20/2010,3/1/2011,"$221,820",Food Security and Agriculture,,Agriculture,,Animal Relief Coalition for Haiti (ARCH),"Haiti Ministry of Agriculture Natural Resources and Rural Development (MARNDR), Haiti Ministry of Environment",Animal Relief Coalition for Haiti (ARCH) members,,  ,,Domestic animals,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Dr. Jean Thomas,Country Coordinator,docjeanfrancoisthomas@yahoo.fr,,13-Oct-10,,
Animal Relief Coalition for Haiti (ARCH),2,ARCH-HT-10-002,Animal Survey,Conduct survey of animals in Port-au-Prince,"Information on how many animals in Port-au-Prince area, how animals are treated, and awareness of rabies",,9/13/2010,11/15/2010,"$35,000",Food Security and Agriculture,,Agriculture,Disaster risk reduction (DRR),Animal Relief Coalition for Haiti (ARCH),Haiti Ministry of Agriculture Natural Resources and Rural Development (MARNDR),Animal Relief Coalition for Haiti (ARCH) members,,  ,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Dr. Jean Thomas,Country Coordinator,docjeanfrancoisthomas@yahoo.fr,,13-Oct-10,,
Animal Relief Coalition for Haiti (ARCH),3,ARCH-HT-10-003,Cold-chain,Provide freezers and refrigerators in impacted areas,Solar-paneled untis for keeping vaccines cold in areas without electricity,,7/25/2010,11/15/2010,"$180,000",Food Security and Agriculture,,Agriculture,Disaster risk reduction (DRR),Animal Relief Coalition for Haiti (ARCH),Haiti Ministry of Agriculture Natural Resources and Rural Development (MARNDR),Animal Relief Coalition for Haiti (ARCH) members,,  ,,Domestic animals,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Dr. Jean Thomas,Country Coordinator,docjeanfrancoisthomas@yahoo.fr,,13-Oct-10,,
Animal Relief Coalition for Haiti (ARCH),4,ARCH-HT-10-004,Labortory reconstruction,Rebuilding of national laboratory,"Two new labs, new shelving, work areas, security wall, and transport vehicle",,3/1/2010,1/1/2011,"$310,000",Food Security and Agriculture,,Agriculture,Disaster risk reduction (DRR),Animal Relief Coalition for Haiti (ARCH),Haiti Ministry of Agriculture Natural Resources and Rural Development (MARNDR),Animal Relief Coalition for Haiti (ARCH) members,,  ,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Dr. Jean Thomas,Country Coordinator,docjeanfrancoisthomas@yahoo.fr,,13-Oct-10,,
Animal Relief Coalition for Haiti (ARCH),5,ARCH-HT-10-005,Educational Outreach,Changes in national curriculum to include animal welfare,"Working with Ministries of Education, Environment, and Agriculture, develop new curriculum for primary grades to include animal welfare, disease prevention, and disater preparedness",,9/13/2010,3/1/2011,"$50,000",Education,,Agriculture,"Animal care and welfare, Disaster risk reduction (DRR)",Animal Relief Coalition for Haiti (ARCH),"Haiti Ministry of Education, Haiti Ministry of Environment, Haiti Ministry of Public Health, Haiti Ministry of Agriculture Natural Resources and Rural Development (MARNDR)",Animal Relief Coalition for Haiti (ARCH) members,,  ,,Children,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Dr. Jean Thomas,Country Coordinator,docjeanfrancoisthomas@yahoo.fr,,13-Oct-10,,
Animal Relief Coalition for Haiti (ARCH),6,ARCH-HT-10-006,Public Outreach,"Public awareness of animal welfare, disease prevention, and disaster preparedness","Working with Publigestion, develop media campaign to provide messaging through radio/tv on animal welfare, disease prevention, and disaster preparedness",,3/1/2010,2/1/2011,"$100,000",,,Agriculture,"Animal care and welfare, Disaster risk reduction (DRR)",Animal Relief Coalition for Haiti (ARCH),Haiti Ministry of Agriculture Natural Resources and Rural Development (MARNDR),Animal Relief Coalition for Haiti (ARCH) members,,  ,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Dr. Jean Thomas,Country Coordinator,docjeanfrancoisthomas@yahoo.fr,,13-Oct-10,,
Baptist World Alliance / Baptist World Aid,1,BWA-HT-10-001,Delmas 19 Complex,"Construction of Orphanage, School, Chapel, Community Centre, Sanitation Building",Currently under construction,,10/1/2010,12/31/2011,"$600,000",,,"Education, Shelter and Housing",,"Baptist World Aid, Hungarian Baptist Aid, Baptist General Association of Virginia, Baptist Convention of Haiti",,"International Donors, U.S. Donors",,  ,,Orphans and Vulnerable Children (OVC),Haiti,Ouest,Port-au-Prince,Delmas,,,,,Paul Montacute,BWAid Director,bwaid@bwanet.org,http://www.bwanet.org,10-Dec-10,,
Baptist World Alliance / Baptist World Aid,2,BWA-HT-10-002,Cholera Assistance,Funding sent to the Baptist Haiti Mission for their work with an information campaignand distribution of water treatment for families in targeted areas.,HBM is doing the program,,11/4/2010,,"$12,400","Health, Water Sanitation and Hygiene",,"Health, Water Sanitation and Hygiene",,Baptist Haiti Mission,,"International Donors, U.S. Donors",,  ,,,Haiti,,,,,,,,Paul Montacute,BWAid Director,bwaid@bwanet.org,http://www.bwanet.org,14-Dec-10,,
Baptist World Alliance / Baptist World Aid,3,BWA-HT-10-003,Haiti Baptist Response to the Outbreak of Cholera,"Education campaign, water treatment, drilling wells",,,11/16/2010,,"$80,000","Health, Water Sanitation and Hygiene",,"Health, Water Sanitation and Hygiene",,Baptist Convention of Haiti,,"International Donors, U.S. Donors",,  ,,,Haiti,"Artibonite, Centre, Nord, Ouest","Dessalines, Gonaïves, Hinche, Limbé, Mirebalais, Plaisance, Port-au-Prince","Bas-Limbé, Carrefour, Cité Soleil, Desdunes, Ennery, Gonaïves, Hinche, Mirebalais, Pilate",,,,,Paul Montacute,BWAid Director,bwaid@bwanet.org,http://www.bwanet.org,14-Dec-10,,
Baptist World Alliance / Baptist World Aid,4,BWA-HT-10-004,Maison d'Espoir (House of Hope) Orphanage,"Assisting orphanage with food, rebuilding school",,,6/14/2010,,"$20,000",Water Sanitation and Hygiene,,"Education, Food Aid",Nutrition,"Hungarian Baptist Aid, Baptist General Association of Virginia",,"International Donors, U.S. Donors",,  ,,Orphans and Vulnerable Children (OVC),Haiti,Ouest,Port-au-Prince,Gressier,,,,,Paul Montacute,BWAid Director,bwaid@bwanet.org,http://www.bwanet.org,14-Dec-10,,
BRAC USA,1,BRAC-HT-10-001,BRAC Limb and Brace Center,"BRAC established a Limb and Brace Center to provide prosthetic limbs to the thousands of victims of the earthquake who required amputations.  A four-person team from BRAC’s Limb Center in Dhaka reached Haiti in March. In its first 21 months of operation, the center aims to provide prosthetic and orthotic services to 1,500 men, women and children.  Men and women will be able to start or return to work, which will in turn reduce the burden on their family, and children will be able to attend school during the day, freeing their parents to seek employment or other livelihoods during the day.  The Limb and Brace Center has secured support from the American Jewish World Service, Child Service International, Clinton Bush Haiti Fund, Grapes for Humanity (Canada), and Grapes for Humanity / US. A total of US$ .98 million money already has committed from donors. BRAC is training a workforce of Haitian technicians and hopes to build local expertise of prosthetics and orthotics in Haiti.","Custom fitting of prosthetics and orthotics to men, women and children in Haiti.",BRAC's Limb and Brace Centre was established at request of Clinton Bush Haiti Fund to provide services to amputees (post-earthquake),7/16/2010,12/31/2011,"$980,000",,,Health,"Disability, Livelihoods",BRAC Haiti,,"Clinton Bush Haiti Fund, American Jewish World Service, Child Services International, Grapes for Humanity (Canada), Grapes for Humanity (US)",," 1,500 ",,"Men, Women, Children, People with disabilities",Haiti,Ouest,Port-au-Prince,Delmas,,,,,Dr. Ripon,Senior Manager,hoque_shahinul@yahoo.com,http://www.brac.net,09-Dec-10,,
BRAC USA,2,BRAC-HT-10-002,Housing Project,"As part of our earthquake response initiative, BRAC launched a Housing Project in Fondwa with Fonkoze under the financial assistance of MEDA/MCC. The earthquake caused severe damage and destruction to many homes in the area. Families have been forced to move into camps or live with neighbors under difficult conditions. BRAC architects have developed a model house for low cost homes that are earthquake and hurricane resistant.  BRAC is mobilizing expertise and equipment for recycling post-earthquake rubble into building materials for rebuilding residences and commercial areas.  Trainings have been held with local laborers on masonry and carpentry. BRAC has made a commitment to build and repair 387 houses in the time span of 18 months. Beneficiary households are members of the Association of Peasants of Fondwa (APF) or clients of Fonkoze. All households are located in rural areas, which are difficult to access and have little support from other organizations.",Rebuilding and Repairing homes damaged by earthquake in Fondwa; providing training to local masons and carpenters to build local knowledge.,"Beneficiaries are members of Association of Peasants of Fondwa, or clients of Fonkoze",5/1/2010,11/1/2011,"$704,000",,,Shelter and Housing,Capacity building,BRAC Haiti,Fonkoze,"Mennonite Central Committee (MCC), Mennonite Economic Development Associates (MEDA)",, 387 ,,"Internally displaced persons (IDPs), Rural populations",Haiti,Ouest,Léogâne,Léogâne,,,,,Sayem Khan,Architect,skhan1124@yahoo.com,http://www.brac.net,09-Dec-10,,
BRAC USA,3,BRAC-HT-10-003,Agriculture Project,"As the first initiative for BRAC’s agriculture program, BRAC has mobilized farmers in rural Haiti to set up tree nurseries. Each participant is provided with training, inputs, and regular follow up – a minimum of 60% of program participants are women. A total of 200 plant nurseries have been established in 5 different localities during the start-up period for livelihood activities, including fruit and timber tree seedlings. The nurseries are located in Jacmel, Fondwa, Leogan, Ganthier and Ponsonde. BRAC has hired 11 Haitian agronomists who are leading this initiative. Each nursery is raising a total of 5,500 seedlings annually. Through intervention of the program, a total of 1.1 million seedlings will be ready for distribution in the next successive years in support of watershed management activities for rebuilding the forestry and environment of Haiti.  New pilot programs on vegetable cultivation, poultry and livestock, and agro-forestry will be launched in January 2011.",Selection of participant farmers; training and input supply for agriculture enterprises; regular follow up provided by BRAC staff on a weekly basis; assistance with creating market linkages; monitoring and evaluation of project.,,8/1/2010,6/30/2011,"$1,442,244",,,Agriculture,Livelihoods,BRAC Haiti,,Omidyar Network,, 200 ,,"Small farmers, Rural populations",Haiti,"Artibonite, Ouest, Sud","Croix-des-Bouquets, Dessalines, Jacmel, Léogâne","Ganthier, Jacmel, La Vallée, Léogâne, Petite Rivière de l'Artibonite",,,,,Leila Lubin,Agronomist,leilafr2003@yahoo.fr,http://www.brac.net,09-Dec-10,,
BRAC USA,4,BRAC-HT-10-004,Technical Assistance to Fonkoze,"BRAC Haiti is continuing its partnership with Fonkoze by providing Fonkoze with technical expertise to scale up its nationwide Chemen Lavi Miyò (CLM) program to include 1,000 households by 2011. The target population for this group is the most marginalized, impoverished section of the community – the bottom 10% of society who is often voiceless and invisible, particularly female-headed households with no significant source of income. Households are identified through community wealth rankings and other participatory methods. This program works to combat rural ultra poverty, by providing selected ultra poor families with income generating assets (goats, chickens, saplings, seeds) as well as livelihood training. Savings training is an integral aspect of this 2-year program. Household selection and livelihood training for all 1,000 households will be completed by the end of December 2010. Thus far, 700 families have been mobilized. The program presently focuses on households in Saut D’eau, Mirebalais, and Boucan-Carré.",,,5/1/2010,12/31/2010,"$132,565",,,Agriculture,"Food security, Livelihoods",Fonkoze,,Mastercard Foundation,," 1,000 ",,"Small farmers, Rural populations",Haiti,Centre,Mirebalais,"Boucan-Carré, Mirebalais, Saut-d'Eau",,,,,Abu Aslam,Technical Support Manager,abuaslam.bd@gmail.com,http://www.brac.net,09-Dec-10,,
Brother's Brother Foundation,1,BBF-HT-10-001,Water Tower,Demolish & rebuild water tower on grounds of Faculte des Sciences Infirmiere I'Universite Episcopale d'Haite (MBF nursing school) in Léogâne.,,,7/1/2010,,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Medical Benevolence Foundation (MBF),,Private donations,,,,,Haiti,Ouest,Léogâne,Léogâne,,Faculte des Sciences Infirmiere l'Univeriste Episcopal d'Haite,18.5108,-72.63388,,,,,10/5/2010,,
Brother's Brother Foundation,2,BBF-HT-10-002,Generators,Purchase 2- 50kW generators for Hopital Ste. Croix (Medical Benevolence Foundation hospital) in Léogâne.,,,8/19/2010,,,Health,,Health,,Medical Benevolence Foundation (MBF),,Private donations,,,,,Haiti,Ouest,Léogâne,Léogâne,,Hopital Sainte Croix,18.5576,-72.5592,,,,,10/5/2010,,
Brother's Brother Foundation,3,BBF-HT-10-003,Container Shipment # 1,"Baby food, Clothing, Hygiene, Safety, Medical, Pharmaceuticals, Surgical packs and Shoes",,,1/19/2010,9/19/2010,"$26,928,503 ","Health, Water Sanitation and Hygiene, Shelter and Non-Food Items, Food Security and Agriculture, Nutrition",,"Water Sanitation and Hygiene, Health, Food Aid, Other",,Food for the Poor,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,4,BBF-HT-10-004,Air Shipment # 1,"Pharmaceuticals, Medical ",,,1/31/2010,2/28/2010,"$3,989,805 ",Health,,Health,,Food for the Poor,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,5,BBF-HT-10-005,Medical Mission Trip # 1,Medical mission supplies,,,1/13/2010,4/15/2010,"$16,662 ",Health,,Health,,Functional Literacy Ministry of Haiti,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
